occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,in_large_period,in_small_period,,unique_genera
515173,occ,,I,52168,Grallator,genus,64079,Norian,,227.3,205.7,55930,yes,no,,
517577,occ,18194,,49500,Revueltosaurus,genus,64949,Norian,,227.3,205.7,17975,yes,no,,
517597,occ,,,52500,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
517603,occ,,,52501,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
517610,occ,,,52502,Leptosuchus,genus,64948,Norian,,227.3,205.7,14122,yes,no,,
517611,occ,22714,,52502,Revueltosaurus,genus,64949,Norian,,227.3,205.7,31632,yes,no,,
517613,occ,,,52503,Paratypothorax,genus,64939,Norian,,227.3,205.7,14122,yes,no,,
518737,occ,,,52747,Proterochampsa,genus,38237,Carnian,,237,227.3,11823,yes,no,,
519612,occ,,I,52848,Eubrontes,genus,66094,Hettangian,,201.4,199.5,61452,yes,no,,
521670,occ,22708,,53513,Shuvosaurus,genus,90274,Norian,,227.3,205.7,15512,yes,no,,
527467,occ,,,53829,Plateosaurus,genus,38644,Rhaetian,,205.7,201.4,14493,yes,no,,
528637,occ,,,54006,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528639,occ,,,54008,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528640,occ,,,54009,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528641,occ,,,54010,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528642,occ,,,54011,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528643,occ,,,54012,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528644,occ,,,54013,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
528645,occ,,,54014,Coelophysis,genus,38520,Norian,,227.3,205.7,14598,yes,no,,
530239,occ,34814,IF,54144,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,65944,yes,no,,
530241,occ,,I,54144,Grallator,genus,64079,Norian,,227.3,205.7,14637,yes,no,,
530242,occ,34815,I,54144,Grallator,genus,64079,Norian,,227.3,205.7,65944,yes,no,,
534097,occ,20873,I,55259,Grallator,genus,64079,Norian,,227.3,205.7,65919,yes,no,,
534099,occ,,IF,55259,Pseudotetrasauropus,genus,77385,Norian,,227.3,205.7,14750,yes,no,,
534100,occ,20874,IF,55259,Brachychirotherium,genus,77387,Norian,,227.3,205.7,65919,yes,no,,
534103,occ,,IF,55259,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,55941,yes,no,,
534106,occ,,I,55260,Grallator,genus,64079,Hettangian,,201.4,199.5,14758,yes,no,,
534107,occ,,I,55260,Eubrontes,genus,66094,Hettangian,,201.4,199.5,14758,yes,no,,
534108,occ,,IF,55260,Anchisauripus,genus,64083,Hettangian,,201.4,199.5,14758,yes,no,,
534736,occ,28999,,55321,Plateosaurus,genus,38644,Rhaetian,,205.7,201.4,33897,yes,no,,
534779,occ,,I,55331,Eubrontes,genus,66094,Hettangian,,201.4,199.5,23479,yes,no,,
534780,occ,,IF,55331,Anchisauripus,genus,64083,Hettangian,,201.4,199.5,23479,yes,no,,
534781,occ,,I,55331,Grallator,genus,64079,Hettangian,,201.4,199.5,14828,yes,no,,
534971,occ,22886,,48422,Drepanosaurus,genus,37782,Rhaetian,,205.7,201.4,32240,yes,no,,
535864,occ,,IF,55413,Apatopus,genus,64087,Norian,,227.3,205.7,14907,yes,no,,
535865,occ,,IF,55413,Rhynchosauroides,genus,56427,Norian,,227.3,205.7,14907,yes,no,,
535874,occ,,IF,55416,Rhynchosauroides,genus,56427,Carnian,,237,227.3,14907,yes,no,,
535883,occ,,IF,55418,Atreipus,genus,68367,Norian,,227.3,205.7,14907,yes,no,,
535884,occ,,IF,55419,Atreipus,genus,68367,Norian,,227.3,205.7,14907,yes,no,,
536420,occ,,IF,55411,Gwyneddichnium,genus,93712,Norian,,227.3,205.7,14907,yes,no,,
